administracja administrativa
ruina zřícenina
rura trubka
rurka trubička
ryba ryba
rybka rybka
rywalizacja rivalita
rzeczpospolita republika
rzeka řeka
rzeźba socha
saga sága
salwa salva
sarna srna
satyra satira
scena scéna
sceneria scéna
sekunda sekunda
seta stovka
setka stovka
sfera sféra
sfora smečka
siekiera sekera
siostra sestra
siostrzyczka sestřička
sitwa klika
skała skála
skorupa skořápka
skórka kůrka
skrzynia truhla
skrzynka bedna
sława sláva
słoma sláma
służba služba
smuga šmouha
sobota sobota
socha socha
sola sóla
sonata sonáta
sonda sonda
sowa sova
sprężyna pružina
sroka straka
starucha stařena
staruszka stařenka
stawka sázka
sterta hromada
stodoła stodola
stopa noha
strata ztráta
strefa zóna
strona strana
struktura struktura
struna struna
strzałka šipka
strzelanina střelba
studnia studna
suka fena
suma suma
swoboda svoboda
sylwetka silueta
synowa snacha
syrena siréna
szafka skříňka
szala váha
szalupa šalupa
szata róba
szczecina štětina
szczelina štěrbina
szkapa herka
szkoła škola
szlachta šlechta
szopa bouda
szynka šunka
ściana stěna
ścieżka stezka
ślepota slepota
ślina slina
środa středa
świeca svíčka
tabliczka tabulka
taktyka taktika
tama přehrada
tapeta tapeta
tara tára
taśma páska
technika technika
teczka složka
temperatura teplota
tęcza duha
tkanina tkanina
toaleta toaleta
torba taška
torebka kabelka
trasa trasa
trawa tráva
trąba trouba
trąbka trubka
trema tréma
trójka trojka
trwoga hrůza
trybuna tribuna
tubka tuba
twarzyczka tvářička
uczennica žačka
uczta hostina
ulga úleva
uliczka ulička
umowa dohoda
uroda krása
utrata ztráta
wada vada
waga váha
wanna vana
warstwa vrstva
waza váza
wątroba játra
wenta nálada
wiara víra
wierzba vrba
wiewiórka veverka
willa vila
wina vina
wizyta návštěva
woda voda
wojna válka
wódka vodka
wrona vrána
wróżba věštba
wstążka stuha
wstęga stuha
wygrana výhra
wymiana výměna
wymówka výmluva
wyprawa výprava
wyrocznia věštba
wystawa výstava
wzmianka zmínka
zabawa zábava
zabawka hračka
zagadka hádanka
zagłada zkáza
zagroda ohrada
załoga posádka
zamiana výměna
zapałka zápalka
zapłata platba
zapora přehrada
zaraza nákaza
zasada zásada
zasadzka léčka
zasłona záclona
zasługa zásluha
zasuwa závora
zatoka zátoka
zbiórka sbírka
zdrada zrada
zemsta pomsta
zgraja banda
zgroza hrůza
zguba zkáza
zięba pěnkava
zima zima
zmarszczka vráska
zmiana změna
zmora můra
zupa polévka
żaba žába
żarówka žárovka
żądza touha
żona manželka
żyła žíla
żyłka žilka
